Serial_Number,sentences,classification,sentiment,topic,class2,,1 (conclusion),2 (guidance),3 (risk),4 (legal),5 (nonversation)
0,"  brewers  singapore   thai beverage  february 12, 2019     2      bring on the pints, please   office of industrial economics reported that domestic beer sales rose 9.6% yoy to 224m litres in dec 18 (dec 17: 205m litres), taking 4qcy18 volume to 591m litres (+7.9% yoy vs. 547.7m litres in 4qcy17).",5,positive,1,legal,,,,,,
1,"however, kgi securities makes no representation as to the accuracy or completeness of such sources or the information and kgi securities accepts no liability whatsoever for any loss or damage arising from the use of or reliance on the information.",4,neutral,2,conclusion,,,,,,
2,we have yet to see a meaningful improvement.,1,negative,3,risk,,,,,,
3,"reports relating to a specific geographical area are produced by the corresponding cgs-cimb -ction referenced below, or, in every other case except as otherwise stated herein, cgs-cimb securities international pte.",4,positive,4,nonversation,,,,,,
4,"whilst every effort is made to ensure that statements of facts made in this report are accurate, all estimates, projections, forecasts, expressions of opinion and other subjective judgments contained in this report are based on assumptions considered to be reasonable as of the date of the document in which they are contained and must not be construed as a representation that the matters referred to therein will occur.",4,negative,5,guidance,,,,,,
5,"this report does not take into account the particular investment objectives, financial situations, or needs of the recipients.",4,positive,1,legal,,,,,,
6,"figure 1: thailand domestic beer sales registered positive yoy growth since sep 18 following seven months of yoy declines      sources: cgs-cimb research, the office of industrial economics    recent analyst briefing.",5,neutral,2,conclusion,,,,,,
7,"hong kong: this report is issued and distributed in hong kong by cgs-cimb securities (hong kong) limited kong by the securities and futures commission for type 1 (dealing in securities), type 4 (advising on securities) and type 6 (advising on corporate   brewers  singapore   thai beverage  february 12, 2019     10  finance) activities.",4,negative,3,risk,,,,,,
8,ltd. all rights reserved.,4,positive,4,nonversation,,,,,,
9,"page | 3 | phillip securities research (singapore)  thai beverage results         page | 4 | phillip securities research (singapore)  thai beverage results                               page | 5 | phillip securities research (singapore)  thai beverage results    contact information (singapore research team) head of research   marketing & operations paul chew  paulchewkl@phillip.com.sg  mohamed amiruddin - amiruddin@phillip.com.sg    banking and finance oil & gas | energy telco | technology tin min ying  tinmy@phillip.com.sg chen guangzhi - chengz@phillip.com.sg alvin chia - alvinchiawy@phillip.com.sg    transport | reits (industrial) reits (commercial, retail, healthcare) | property technical analysis richard leow - richardleowwt@phillip.com.sg dehong tan - tandh@phillip.com.sg jeremy ng - jeremyngch@phillip.com.sg    reits (commercial, retail, healthcare) | property us equity china/hk equity tara wong - tarawongsj@phillip.com.sg ho kang wei - hokw@phillip.com.sg zheng jieyuan  zhengjy@phillip.com.sg     contact information (regional member companies) singapore phillip securities pte ltd raffles city tower 250, north bridge road #06-00 singapore 179101 tel +65 6533 6001 fax +65 6535 6631 website: www.poems.com.sg malaysia phillip capital management sdn bhd b-3-6 block b level 3 megan avenue ii, no.",5,negative,5,guidance,,,,,,
10,estimates total vietnam beer volume cagr of 5% over cy19-cy22f (5.1bn litres in cy22f).,1,positive,1,legal,,,,,,
11,"additional information is, subject to the duties of confidentiality, available on request.",4,neutral,2,conclusion,,,,,,
12,the survey of the iod is based on the information of a company listed on the stock exchange of thailand and the market for alternative investment disclosed to the public and able to be accessed by a general public investor.,4,negative,3,risk,,,,,,
13,the distributor of this report has not been approved or licensed by the china securities regulatory commission or any other relevant regulatory authority or governmental agency in the prc.,4,positive,4,nonversation,,,,,,
14,"cimb has no obligation to update, revise or reaffirm its opinion or the information in this research reports after the date of this report.",4,negative,5,guidance,,,,,,
15,"kgi securities reserves the right to act upon or use the information at any time, including before its publication herein.",4,positive,1,legal,,,,,,
16,"overall, we expect net profit was thb5.9m vs. 1qfy9/18 net profit of thb5.3bn.",1,neutral,2,conclusion,,,,,,
17,cgs-cimb securities (singapore) pte.,4,negative,3,risk,,,,,,
18,"information on the accounts and business of company(ies) will generally be based on published statements of the company(ies), information disseminated by regulatory information services, other publicly available information and information resulting from our research.",4,positive,4,nonversation,,,,,,
19,cgs-cimb thailand does not confirm nor certify the accuracy of such survey result.,4,negative,5,guidance,,,,,,
20,any investment or investment activity to which this material relates is available only to relevant persons and will be engaged in only with relevant persons.,4,positive,1,legal,,,,,,
21,"this report may not be published, circulated, reproduced or distributed and/or redistributed in whole or in part by any recipient of this report to any other person without the prior written consent of kgi securities.",4,neutral,2,conclusion,,,,,,
22,"investors are advised to make their own independent evaluation of the information contained in this research report, consider their own individual investment objectives, financial situation and particular needs and consult their own professional and financial advisers as to the legal, business, financial, tax and other aspects before participating in any transaction in respect of the securities of company(ies) covered in this research report.",4,negative,3,risk,,,,,,
23,"cgs-cimbr, its affiliates and related corporations, their directors, associates, connected parties and/or employees may own or have positions in specified products of the company(ies) covered in this research report or any specified products related thereto and may from time to time add to or dispose of, or may be materially interested in, any such specified products.",4,positive,4,nonversation,,,,,,
24,ltd. and cgs-cimb securities (hong kong) limited.,4,negative,5,guidance,,,,,,
25,copyright 2018.  kgi securities (singapore) pte.,4,positive,1,legal,,,,,,
26,i securities to be reliable.,4,neutral,2,conclusion,,,,,,
27,"the result, therefore, is from the perspective of a third party.",4,negative,3,risk,,,,,,
28,"during our ground checks, we noted more initiabrand awareness.",1,positive,4,nonversation,,,,,,
29,"management shared that it had cut down redundant office space, kick started the process to minimise its raw material costs and began improving its distribution network in order to enhance the freshness of its beer.",2,negative,5,guidance,,,,,,
30,"except as otherwise indicated below, (1) kgi securities, its connected persons and its officers, employees and representatives may, to the extent permitted by law, transact with, perform or provide broking, underwriting, corporate finance-related or other services for or solicit business from, the subject corporation(s) referred to in this report; (2) kgi securities, its connected persons and its officers, employees and representatives may also, to the extent permitted by law, transact with, perform or provide broking or other services for or solicit business from, other persons in respect of dealings in the securities referred to in this report or other investments related thereto; and (3) the officers, employees and representatives of kgi securities may also serve on the board of directors or in trustee positions with the subject corporation(s) referred to in this report.",4,positive,1,legal,,,,,,
31,information barriers and other arrangements may be established where necessary to prevent conflicts of interests arising.,4,neutral,2,conclusion,,,,,,
32,"sabeco ran a large promotion campaign for the saigon special brand, featuring lucky draws for mercedes cars from sep to nov 18. bia saigon also became leicester city football clubofficial sleeve sponsor for the 2018/19 season, following the announcement by the club in cy18 that it was entering a multi-thbev.",5,negative,3,risk,,,,,,
33,"if you have not been sent this report by cgs-cimbr directly, you may not rely, use or disclose to anyone else this report or its contents.",4,positive,4,nonversation,,,,,,
34,"12, jalan yap kwan seng, 50450 kuala lumpur tel +603 2162 8841 fax +603 2166 5099 website: www.poems.com.my hong kong phillip securities (hk) ltd 11/f united centre 95 queensway hong kong tel +852 2277 6600 fax +852 2868 5307 websites: www.phillip.com.hk    japan phillip securities japan, ltd. 4-2 nihonbashi kabuto-cho chuo-ku,  tokyo 103-0026 tel +81-3 3666 2101 fax +81-3 3666 6090 website: www.phillip.co.jp indonesia pt phillip securities indonesia anz tower level 23b, jl jend sudirman kav 33a jakarta 10220  indonesia tel +62-21 5790 0800 fax +62-21 5790 0809 website: www.phillip.co.id china phillip financial advisory (shanghai) co ltd no 550 yan an east road, ocean tower unit 2318, postal code 200001 tel +86-21 5169 9200 fax +86-21 6351 2940 website: www.phillip.com.cn    thailand phillip securities (thailand) public co. ltd 15th floor, vorawat building, 849 silom road, silom, bangrak, bangkok 10500 thailand tel +66-2 6351700 / 22680999 fax +66-2 22680921 website www.phillip.co.th france king & shaxson capital limited 3rd floor, 35 rue de la bienfaisance 75008 paris france tel +33-1 45633100 fax +33-1 45636017 website: www.kingandshaxson.com united kingdom king & shaxson capital limited 6th floor, candlewick house, 120 cannon street, london, ec4n 6as tel +44-20 7426 5950 fax +44-20 7626 1757 website: www.kingandshaxson.com    united states phillip capital inc 141 w jackson blvd ste 3050 the chicago board of trade building chicago, il 60604 usa tel +1-312 356 9000 fax +1-312 356 9005 website: www.phillipusa.com australia phillip capital limited level 10, 330 collins street melbourne, victoria 3000, australia tel +61-03 9629 8288 fax +61-03 9629 8882 website: www.phillipcapital.com.au sri lanka asha phillip securities limited 2nd floor, lakshmans building, no.",4,negative,5,guidance,,,,,,
35,the survey result is as of the date appearing in the corporate governance report of thai listed companies.,4,positive,1,legal,,,,,,
36,"by receiving or reading this report, you agree to be bound by the terms and limitations set out below.",4,neutral,2,conclusion,,,,,,
37,"the securities referred to in this research report have not been registered with the financial services authority (otoritas jasa keuangan) pursuant to relevant capital market laws and regulations, and may not be offered or sold within the territory of the republic of indonesia or to indonesian citizens through a public offering or in circumstances which constitute an offer within the meaning of the indonesian capital market law and regulations.",4,negative,3,risk,,,,,,
38,"by accepting this report, the recipient hereof represents and warrants that he is entitled to receive such report in accordance with the restrictions set  below).",4,positive,4,nonversation,,,,,,
39,chk does not make a market on other securities mentioned in the report.,4,negative,5,guidance,,,,,,
40,this research report is not an offer of securities in indonesia.,4,positive,1,legal,,,,,,
41,"further, cgs-cimb, cimb, their respective affiliates and their respective related corporations (including cgifhl, cimbg and their respective related corporations) do and seek to do business with the company(ies) covered in this research report and may from time to time act as market maker or have assumed an underwriting commitment in securities of such company(ies), may sell them to or buy them from customers on a principal basis and may also perform or seek to perform significant investment banking, advisory, underwriting or placement services for or relating to such company(ies) as well as solicit such investment, advisory or other services from any entity mentioned in this report.",4,neutral,2,conclusion,,,,,,
42,"in reviewing this research report, an investor should be aware that any or all of the foregoing, among other things, may give rise to real or potential conflicts of interest.",4,negative,3,risk,,,,,,
43,"this report has been provided to you for personal use only and shall not be reproduced, distributed or published by you in whole or in part, for any purpose.",4,positive,4,nonversation,,,,,,
44,"this report is not directed to, or intended for distribution to or use by, any person or entity who is a citizen or resident of or located in any locality, state, country or other jurisdiction where such distribution, publication, availability or use would be contrary to law or regulation.",4,negative,5,guidance,,,,,,
45,"no report shall constitute an offer or an invitation by or on behalf of cgs-cimb or cimb, as the case may be, or any of their respective affiliates (including cgifhl, cimbg and their respective related corporations) to any person to buy or sell any investments.",4,positive,1,legal,,,,,,
46,"321, galle road, colombo 03, sri lanka tel: (94) 11 2429 100 fax: (94) 11 2429 199 website: www.ashaphillip.net    india phillipcapital (india) private limited no.1, 18th floor, urmi estate 95, ganpatrao kadam marg lower parel west, mumbai 400-013 maharashtra, india  tel: +91-22-2300 2999 / fax: +91-22-2300 2969 website: www.phillipcapital.in turkey phillipcapital menkul degerler dr. cemil beng cad.",4,neutral,2,conclusion,,,,,,
47,the current prices/yields in this issue are based upon closing prices from bloomberg as of the day preceding publication.,4,negative,3,risk,,,,,,
48,canada: this research report has not been prepared in accordance with the disclosure requirements of dealer member rule 3400  research restrictions and disclosure requirements of the investment industry regulatory organization of canada.,4,positive,4,nonversation,,,,,,
49,"neutral a neutral rating means stocks in the sector have, on a market cap-weighted basis, a neutral absolute recommendation.",4,negative,5,guidance,,,,,,
50,"#01                             creative technology singapore  september 27, 2018 kgi securities (singapore) pte.",4,positive,1,legal,,,,,,
51,germany: this report is only directed at persons who are professional investors as defined in sec 31a(2) of the german securities trading act (wphg).,4,neutral,2,conclusion,,,,,,
52,this was encouraging as it implied that the positive sales growth seen since sep 18 was sustained.,1,negative,3,risk,,,,,,
53,"the information, tools and material presented herein are not directed, intended for distribution to or use by, any person or entity in any jurisdiction or country where such distribution, publication, availability or use would be contrary to the applicable law or regulation or which would subject phillip securities research to any registration or licensing or other requirement, or penalty for contravention of such requirements within such jurisdiction.",4,positive,4,nonversation,,,,,,
54,", approved by, or filed or registered with, any indian regulator, including any registrar of companies in india, sebi, any indian stock exchange, or the reserve bank of india.",4,negative,5,guidance,,,,,,
